,Player No,Acceleration,Aggression,Agility,Balance,Ballcontrol,Composure,Crossing,Curve,Dribbling,Finishing,Freekickaccuracy,GKdiving,GKhandling,GKkicking,GKpositioning,GKreflexes,Headingaccuracy,ID,Interceptions,Jumping,Longpassing,Longshots,Marking,Penalties,Positioning,Reactions,Shortpassing,Shotpower,Slidingtackle,Sprintspeed,Stamina,Standingtackle,Strength,Vision,Volleys
2558,2558,60.0,82.0,59.0,44.0,59.0,66.0,44.0,38.0,42.0,28.0,37.0,8.0,7.0,7.0,14.0,13.0,75.0,226536,67.0,65.0,65.0,31.0,69.0,33.0,28.0,71.0,67.0,41.0,78.0,81.0,79.0,73.0,87.0,32.0,24.0
2559,2559,81.0,46.0,64.0,70.0,76.0,71.0,76.0,67.0,74.0,70.0,76.0,15.0,13.0,12.0,10.0,9.0,54.0,159977,38.0,67.0,59.0,52.0,39.0,57.0,74.0,74.0,76.0,52.0,41.0,77.0,48.0,52.0,52.0,73.0,67.0
2560,2560,76.0,56.0,79.0,76.0,75.0,78.0,68.0,67.0,75.0,72.0,49.0,16.0,8.0,13.0,9.0,10.0,76.0,156650,41.0,74.0,71.0,66.0,51.0,77.0,71.0,76.0,75.0,77.0,42.0,71.0,70.0,53.0,75.0,71.0,76.0
2561,2561,85.0,69.0,86.0,68.0,71.0,67.0,70.0,77.0,74.0,73.0,73.0,6.0,6.0,7.0,7.0,12.0,63.0,192490,35.0,88.0,58.0,63.0,28.0,70.0,74.0,73.0,68.0,73.0,29.0,89.0,74.0,26.0,64.0,69.0,68.0
2562,2562,50.0,94.0,38.0,31.0,55.0,48.0,28.0,21.0,37.0,30.0,26.0,13.0,14.0,14.0,6.0,7.0,76.0,216811,72.0,79.0,66.6,23.0,74.0,39.0,39.0,66.0,55.0,37.0,65.0,59.0,63.0,66.3,95.0,36.0,21.0
2563,2563,47.0,86.0,48.0,63.0,69.0,73.0,59.0,59.0,55.0,59.0,75.0,13.0,7.0,15.0,15.0,15.0,71.0,181483,80.0,57.0,65.0,73.0,76.0,72.0,52.0,72.0,67.0,81.0,70.0,51.0,74.0,77.0,85.0,67.0,63.0
2564,2564,60.0,80.0,71.0,53.0,75.0,63.0,66.0,70.0,72.0,62.0,71.0,12.0,6.0,15.0,6.0,16.0,65.0,167661,62.0,70.0,71.0,69.0,67.0,54.0,71.0,76.0,77.0,75.0,61.0,65.0,77.0,66.0,75.0,73.0,46.0
2565,2565,62.0,78.0,67.0,65.0,76.0,74.0,73.0,74.0,73.0,61.0,71.0,6.0,16.0,16.0,15.0,9.0,68.0,112365,71.0,70.0,76.0,75.0,58.0,74.0,71.0,77.0,78.0,73.0,60.0,47.0,68.0,70.0,70.0,77.0,65.0
2566,2566,28.0,28.0,41.0,35.0,13.0,34.0,14.0,12.0,10.0,12.0,13.0,74.0,72.0,64.0,74.0,73.0,16.0,143598,15.0,32.0,19.0,10.0,14.0,24.0,11.0,78.0,16.0,10.0,10.0,29.0,28.0,10.0,52.0,60.0,11.0
2567,2567,74.0,67.0,76.0,71.0,79.0,66.0,61.0,68.0,75.0,70.0,67.0,12.0,11.0,6.0,8.0,11.0,75.0,216814,68.0,60.0,73.0,74.0,65.0,67.0,67.0,72.0,76.0,76.0,64.0,72.0,65.0,69.0,52.0,76.0,66.0
2568,2568,67.0,56.0,69.0,64.0,70.0,78.0,74.0,53.0,69.0,76.0,43.0,12.0,7.0,9.0,15.0,13.0,78.0,152814,29.0,72.0,47.0,68.0,17.0,73.0,75.0,69.0,69.0,77.0,19.0,67.0,61.0,22.0,76.0,68.0,74.0
2569,2569,85.0,69.0,87.0,64.0,70.0,75.0,66.0,78.0,82.0,73.0,66.0,13.0,8.0,8.0,13.0,6.0,57.0,202223,61.0,63.0,56.0,71.0,60.0,61.0,72.0,74.0,71.0,77.0,59.0,67.0,78.0,66.0,64.0,73.0,61.0
2570,2570,69.0,60.0,77.0,78.0,75.0,64.0,69.0,75.0,74.0,70.0,74.0,14.0,7.0,13.0,10.0,12.0,66.0,212207,42.0,63.0,71.0,76.0,38.0,66.0,72.0,69.0,72.0,71.0,32.0,69.0,67.0,30.0,61.0,76.0,65.0
2571,2571,81.0,57.0,82.0,67.0,76.0,78.0,66.0,72.0,75.0,64.0,73.0,13.0,8.0,10.0,9.0,10.0,51.0,159983,41.0,51.0,71.0,62.0,31.0,71.0,77.0,74.0,74.0,55.0,32.0,72.0,71.0,33.0,54.0,76.0,61.0
2572,2572,65.0,85.0,59.0,53.0,57.0,65.0,48.0,30.0,55.0,43.0,44.0,7.0,9.0,13.0,14.0,16.0,70.0,125167,73.0,80.0,63.0,55.0,70.0,49.0,39.0,72.0,65.0,70.0,69.0,54.0,83.0,76.0,86.0,44.0,38.0
2573,2573,65.0,49.0,68.0,64.0,76.0,78.0,68.0,47.0,74.0,58.0,68.0,13.0,12.0,7.0,14.0,7.0,61.0,228336,70.0,48.0,73.0,49.0,57.0,50.0,70.0,76.0,78.0,65.0,43.0,64.0,67.0,66.0,64.0,75.0,53.0
2574,2574,58.0,73.0,72.0,55.0,80.0,66.0,46.0,61.0,69.0,28.0,33.0,14.0,10.0,14.0,15.0,15.0,70.0,199409,76.0,59.0,64.0,39.0,71.0,49.0,42.0,64.0,74.0,60.0,80.0,69.0,84.0,74.0,77.0,61.0,38.0
2575,2575,75.0,54.0,77.0,62.0,75.0,72.0,74.0,81.0,74.0,57.0,76.0,9.0,8.0,8.0,7.0,12.0,71.0,159985,54.0,56.0,73.0,75.0,33.0,69.0,73.0,78.0,75.0,71.0,21.0,67.0,67.0,29.0,74.0,75.0,55.0
2576,2576,51.0,70.0,42.0,48.0,60.0,56.0,39.0,28.0,44.0,19.0,25.0,13.0,9.0,11.0,8.0,7.0,70.0,195313,78.0,70.0,59.0,34.0,78.0,38.0,40.0,70.0,63.0,36.0,69.0,61.0,75.0,77.0,76.0,37.0,63.0
2577,2577,66.0,84.0,65.0,63.0,73.0,69.0,68.0,53.0,71.0,63.0,41.0,16.0,13.0,7.0,12.0,14.0,68.0,214770,75.0,67.0,72.0,73.0,72.0,57.0,67.0,73.0,74.0,75.0,71.0,69.0,91.0,74.0,76.0,66.0,46.0
2578,2578,75.0,78.0,72.0,70.0,70.0,64.0,56.0,70.0,65.0,45.0,72.0,9.0,10.0,9.0,7.0,6.0,78.0,224242,64.0,82.0,72.0,70.0,65.0,46.0,57.0,67.0,71.0,82.0,72.0,82.0,84.0,75.0,82.0,64.0,32.0
2579,2579,62.0,62.0,56.0,47.0,60.0,67.0,71.0,69.0,59.0,41.0,47.0,9.0,5.0,4.0,6.0,4.0,77.0,178418,82.0,71.0,62.0,57.0,79.0,48.0,50.0,74.0,62.0,70.0,80.0,66.0,69.0,81.0,78.0,38.0,31.0
2580,2580,52.0,34.0,41.0,50.0,22.0,32.0,14.0,18.0,10.0,12.0,12.0,77.0,71.0,70.0,75.0,79.0,10.0,120306,22.0,70.0,32.0,10.0,10.0,16.0,11.0,56.0,24.0,22.0,11.0,49.0,45.0,15.0,58.0,41.0,14.0
2581,2581,59.0,29.0,52.0,60.0,25.0,43.0,12.0,15.0,15.0,12.0,12.0,74.0,70.0,67.0,77.0,75.0,14.0,186098,14.0,69.0,31.0,16.0,11.0,25.0,11.0,69.0,26.0,24.0,12.0,56.0,36.0,13.0,80.0,55.0,13.0
2582,2582,67.0,72.0,69.0,66.0,75.0,70.0,74.0,71.0,73.0,70.0,63.0,8.0,8.0,6.0,7.0,7.0,66.0,192242,73.0,70.0,73.0,75.0,69.0,59.0,71.0,75.0,75.0,78.0,71.0,68.0,73.0,72.0,73.0,72.0,71.0
2583,2583,43.0,43.0,45.0,39.0,19.0,17.0,10.0,10.0,12.0,11.0,10.0,78.0,71.0,67.0,71.0,78.0,13.0,190195,19.0,47.0,22.0,10.0,12.0,18.0,11.0,67.0,27.0,24.0,12.0,59.0,32.0,11.0,81.0,26.0,13.0
2584,2584,46.0,34.0,44.0,34.0,19.0,42.0,18.0,15.0,16.0,13.0,14.0,74.0,68.0,65.0,78.0,76.0,14.0,148212,24.0,72.0,28.0,11.0,13.0,22.0,13.0,65.0,31.0,19.0,12.0,28.0,24.0,15.0,68.0,35.0,15.0
2585,2585,92.0,38.0,93.0,91.0,76.0,76.0,71.0,47.0,78.0,73.0,55.0,7.0,13.0,12.0,13.0,9.0,58.0,216820,21.0,90.0,52.0,68.0,26.0,48.0,68.0,71.0,67.0,76.0,25.0,91.0,73.0,31.0,63.0,66.0,73.0
2586,2586,76.0,58.0,77.0,69.0,74.0,76.0,81.0,83.0,78.0,65.0,76.0,15.0,13.0,9.0,10.0,9.0,46.0,164852,42.0,59.0,78.0,75.0,35.0,71.0,74.0,71.0,73.0,65.0,38.0,71.0,65.0,46.0,57.0,61.0,66.0
2587,2587,79.0,76.0,84.0,76.0,77.0,65.0,71.0,67.0,79.0,71.0,65.0,14.0,14.0,10.0,9.0,12.0,46.0,189172,35.0,71.0,56.0,66.0,19.0,72.0,72.0,70.0,67.0,72.0,35.0,90.0,78.0,21.0,56.0,62.0,58.0
2588,2588,66.0,60.0,73.0,71.0,75.0,70.0,68.0,60.0,68.0,60.0,49.0,8.0,8.0,12.0,16.0,15.0,67.0,192756,73.0,40.0,73.0,73.0,70.0,57.0,54.0,69.0,82.0,65.0,69.0,66.0,82.0,73.0,64.0,72.0,55.0
2589,2589,69.0,68.0,77.0,83.0,77.0,64.0,72.4,75.1,76.0,61.0,51.0,9.0,16.0,6.0,8.0,14.0,56.0,212213,72.0,73.0,65.0,54.0,76.0,78.0,70.0,74.0,73.3,54.0,75.0,68.0,76.0,76.0,56.0,68.3,58.0
2590,2590,55.0,76.0,54.0,57.0,51.0,65.0,51.0,41.0,45.0,41.0,42.0,7.0,13.0,7.0,8.0,15.0,71.0,230389,72.0,78.0,66.0,52.0,74.0,43.0,35.0,71.0,67.0,53.0,72.0,56.0,61.0,77.0,82.0,54.0,54.0
2591,2591,73.0,81.0,56.0,66.0,69.0,65.0,71.0,32.0,52.0,30.0,40.0,13.0,13.0,8.0,6.0,8.0,70.0,232437,73.0,53.0,56.0,34.0,72.0,38.0,43.0,72.0,69.0,40.0,78.0,72.0,78.0,77.0,65.0,42.0,24.0
2592,2592,74.0,80.0,65.0,74.0,72.0,66.0,73.0,64.0,70.0,42.0,40.0,15.0,12.0,7.0,8.0,11.0,60.0,204278,69.0,70.0,63.0,45.0,72.0,38.0,67.0,66.0,79.0,57.0,73.0,80.0,85.0,71.0,60.0,43.0,36.0
2593,2593,73.0,70.0,66.0,69.0,74.0,65.0,74.0,63.0,74.0,54.0,46.0,8.0,12.0,6.0,10.0,12.0,60.0,191990,74.0,45.0,66.0,62.0,74.0,61.0,60.0,69.0,70.0,61.0,76.0,72.0,69.0,76.0,63.0,61.0,36.0
2594,2594,78.0,57.0,85.0,73.0,74.0,72.0,72.0,73.0,72.0,66.0,74.0,10.0,7.0,16.0,13.0,7.0,39.0,210423,26.0,55.0,73.0,73.0,35.0,64.0,68.0,68.0,76.0,75.0,38.0,74.0,67.0,34.0,43.0,74.0,65.0
2595,2595,71.0,90.0,69.0,75.0,75.0,68.0,47.0,50.0,70.0,54.0,42.0,10.0,13.0,16.0,7.0,15.0,67.0,218359,75.0,60.0,76.0,62.0,74.0,51.0,68.0,70.0,77.0,74.0,72.0,69.0,77.0,77.0,75.0,69.0,53.0
2596,2596,51.0,83.0,64.0,66.0,61.0,67.0,35.0,39.0,52.0,21.0,44.0,7.0,13.0,12.0,14.0,9.0,74.0,157687,75.0,81.0,56.0,29.0,73.0,29.0,36.0,67.0,59.0,69.0,71.0,53.0,50.0,73.0,78.0,36.0,34.0
2597,2597,84.0,67.0,74.0,76.0,77.0,74.0,69.0,73.0,75.0,68.0,65.0,14.0,12.0,8.0,10.0,7.0,60.0,184823,47.0,75.0,67.0,68.0,32.0,57.0,74.0,67.0,71.0,73.0,35.0,82.0,71.0,41.0,72.0,66.0,59.0
2598,2598,87.0,57.0,82.0,74.0,78.0,71.0,68.0,63.0,77.0,66.0,51.0,15.0,10.0,10.0,13.0,8.0,59.0,198136,36.0,66.0,60.0,69.0,17.0,58.0,70.0,69.0,75.0,68.0,26.0,88.0,74.0,40.0,66.0,64.0,70.0
2599,2599,77.0,72.0,84.0,82.0,78.0,67.0,76.0,76.0,80.0,63.0,74.0,10.0,11.0,9.0,8.0,14.0,52.0,183800,33.0,80.0,64.0,73.0,29.0,66.0,69.0,70.0,73.0,81.0,27.0,85.0,65.0,26.0,77.0,64.0,67.0
2600,2600,31.0,78.0,50.0,52.0,59.0,70.0,19.0,23.0,17.0,25.0,11.0,8.0,6.0,6.0,13.0,15.0,80.0,120312,75.0,80.0,71.0,21.0,75.0,44.0,35.0,72.0,56.0,62.0,72.0,28.0,54.0,76.0,79.0,43.0,23.0
2601,2601,76.0,53.0,88.0,91.0,73.0,66.0,74.0,77.0,72.0,64.0,79.0,15.0,13.0,12.0,16.0,15.0,48.0,212729,48.0,58.0,75.0,76.0,31.0,81.0,65.0,65.0,76.0,78.0,36.0,73.0,66.0,38.0,32.0,75.0,70.0
2602,2602,49.0,12.0,38.0,27.0,21.0,40.0,11.0,13.0,10.0,10.0,10.0,74.0,74.0,63.0,76.0,74.0,10.0,162297,13.0,65.0,29.0,11.0,19.0,22.0,10.0,70.0,26.0,23.0,12.0,39.0,30.0,12.0,45.0,30.0,10.0
2603,2603,70.0,85.0,70.0,67.0,63.0,61.0,65.0,45.0,60.0,40.0,32.0,7.0,16.0,15.0,16.0,8.0,77.0,169721,71.0,90.0,56.0,39.0,62.0,53.0,52.0,56.0,63.0,63.0,76.0,74.0,34.0,74.0,90.0,51.0,43.0
2604,2604,36.0,82.0,33.0,41.0,66.0,65.0,66.0,53.0,66.0,31.0,46.0,11.0,6.0,10.0,12.0,16.0,67.0,176377,72.0,71.0,62.0,58.0,74.0,43.0,62.0,66.0,70.0,74.0,77.0,38.0,75.0,76.0,82.0,57.0,32.0
2605,2605,83.0,65.0,83.0,92.0,80.0,72.0,48.0,66.0,75.0,51.0,43.0,7.0,14.0,14.0,12.0,10.0,46.0,202746,78.0,64.0,69.0,45.0,60.0,49.0,64.0,74.0,78.0,48.0,48.0,78.0,82.0,67.0,32.0,70.0,43.0
2606,2606,69.0,75.0,71.0,71.0,74.0,68.0,60.0,52.0,69.0,55.0,62.0,11.0,11.0,9.0,8.0,12.0,55.0,211706,76.0,64.0,74.0,58.0,71.0,45.0,58.0,75.0,79.0,59.0,69.0,66.0,83.0,74.0,67.0,72.0,43.0
2607,2607,47.0,77.0,56.0,44.0,68.0,72.2,59.0,62.0,58.0,46.0,60.0,7.0,9.0,12.0,15.0,14.0,69.0,164858,75.1,31.0,70.0,64.0,73.1,42.0,58.0,74.0,72.0,70.0,68.0,56.0,84.3,72.1,77.1,66.1,38.0
2608,2608,73.0,77.0,67.0,72.0,68.0,70.0,58.0,46.0,67.0,54.0,41.0,6.0,8.0,13.0,14.0,11.0,64.0,183546,74.0,66.0,69.0,54.0,68.0,41.0,58.0,73.0,74.0,61.0,72.0,68.0,91.0,73.0,75.0,63.0,53.0
2609,2609,62.0,70.0,67.0,79.0,76.0,67.0,76.0,48.0,73.0,39.0,44.0,16.0,10.0,10.0,11.0,16.0,68.0,189946,76.0,85.0,74.0,41.0,76.0,58.0,53.0,74.0,75.0,58.0,76.0,40.0,82.0,77.0,68.0,63.0,42.0
2610,2610,77.0,77.0,65.0,66.0,69.0,66.0,71.0,57.0,67.0,34.0,43.0,11.0,7.0,9.0,10.0,11.0,68.0,212219,75.0,70.0,59.0,42.0,72.0,43.0,55.0,67.0,64.0,50.0,75.0,77.0,75.0,75.0,76.0,55.0,35.0
2611,2611,66.0,76.0,68.0,60.0,69.0,70.0,61.0,35.0,44.0,53.0,30.0,12.0,15.0,6.0,12.0,11.0,71.0,178171,74.0,72.0,60.0,41.0,76.0,47.0,60.0,69.0,63.0,59.0,72.0,67.0,79.0,75.0,79.0,60.0,51.0
2612,2612,58.0,49.0,69.0,71.0,77.0,65.0,70.0,70.0,71.0,58.0,76.0,13.0,14.0,13.0,12.0,10.0,61.0,212476,59.0,64.0,80.0,80.0,65.0,80.0,66.0,71.0,81.0,81.0,59.0,63.0,55.0,66.0,58.0,77.0,57.0
2613,2613,78.0,55.0,81.0,78.0,75.0,73.0,60.0,65.0,78.0,72.0,59.0,7.0,9.0,12.0,8.0,7.0,61.0,217852,36.0,69.0,58.0,66.0,39.0,69.0,75.0,75.0,69.0,69.0,47.0,77.0,77.0,53.0,65.0,70.0,60.0
2614,2614,66.0,78.0,55.0,61.0,72.0,64.0,62.0,49.0,58.0,47.0,43.0,13.0,8.0,13.0,6.0,12.0,74.0,230397,73.0,67.0,71.0,52.0,72.0,67.0,41.0,72.0,68.0,70.0,67.0,70.0,74.0,77.0,73.0,34.0,51.0
2615,2615,52.0,92.0,65.0,72.0,66.0,69.0,52.0,56.0,56.0,43.0,45.0,10.0,16.0,15.0,15.0,12.0,66.0,167933,76.0,71.0,67.0,44.0,73.0,47.0,56.0,72.0,75.0,54.0,62.0,51.0,86.0,74.0,72.0,69.0,37.0
2616,2616,53.0,87.0,67.0,62.0,68.0,61.0,60.0,82.0,65.0,56.0,80.0,13.0,13.0,13.0,13.0,10.0,63.0,172285,70.0,82.0,75.0,77.0,72.0,67.0,55.0,67.0,79.0,75.0,78.0,61.0,70.0,75.0,75.0,68.0,43.0
2617,2617,76.0,73.0,77.0,79.0,75.0,71.0,72.0,76.0,73.0,67.0,77.0,15.0,7.0,7.0,10.0,8.0,56.0,201982,62.0,65.0,62.0,68.0,57.0,63.0,75.0,74.0,73.0,74.0,62.0,75.0,80.0,65.0,72.0,70.0,60.0
2618,2618,73.0,52.0,77.0,80.0,75.0,66.0,75.0,80.0,76.0,68.0,59.0,12.0,7.0,16.0,7.0,7.0,54.0,206590,51.0,73.0,69.0,69.0,35.0,59.0,69.0,68.0,79.1,68.0,34.0,69.0,77.0,47.0,56.5,71.0,59.0
2619,2619,30.0,85.0,34.0,29.0,54.0,69.0,32.0,23.0,44.0,48.0,21.0,14.0,11.0,7.0,9.0,8.0,81.0,46590,76.0,31.0,53.0,27.0,74.0,39.0,51.0,67.0,55.0,70.0,72.0,30.0,32.0,74.0,96.0,47.0,57.0
2620,2620,79.0,62.0,83.0,71.0,75.0,70.0,68.0,72.0,79.0,67.0,68.0,14.0,16.0,8.0,10.0,11.0,32.0,228352,46.0,71.0,57.0,72.0,37.0,63.0,70.0,69.0,63.0,74.0,49.0,78.0,80.0,52.0,58.0,68.0,62.0
2621,2621,56.0,62.0,68.0,66.0,73.0,75.0,68.0,74.0,64.0,47.0,75.0,13.0,8.0,13.0,15.0,15.0,74.0,188416,72.0,75.0,76.0,72.0,66.0,55.0,58.0,73.0,76.0,72.0,69.0,61.0,83.0,70.0,73.0,72.0,60.0
2622,2622,87.0,65.0,80.0,74.0,72.0,62.0,72.0,59.0,74.0,48.0,50.0,12.0,10.0,13.0,6.0,13.0,55.0,233218,70.0,53.0,57.0,60.0,66.0,61.0,60.0,71.0,63.0,57.0,69.0,90.0,78.0,70.0,67.0,65.0,55.0
2623,2623,72.0,68.0,72.0,87.0,71.0,62.0,71.0,61.0,63.0,44.0,39.0,9.0,6.0,15.0,8.0,11.0,55.0,188930,78.0,69.0,63.0,26.0,70.0,48.0,44.0,74.0,67.0,68.0,75.0,72.0,71.0,71.0,56.0,56.0,54.0
2624,2624,38.0,35.0,39.0,44.0,20.0,48.0,12.0,13.0,15.0,14.0,13.0,70.0,73.0,67.0,70.0,73.0,14.0,162052,9.0,60.0,38.0,15.0,12.0,21.0,12.0,74.0,26.0,25.0,13.0,36.0,33.0,19.0,64.0,50.0,14.0
2625,2625,70.0,44.0,67.0,65.0,68.0,70.0,39.0,58.0,68.0,75.0,60.0,12.0,10.0,10.0,14.0,7.0,73.0,229124,13.0,65.0,30.0,69.0,17.0,70.0,78.0,65.0,56.0,76.0,15.0,73.0,69.0,14.0,75.0,65.0,60.0
2626,2626,80.0,57.0,69.0,60.0,72.0,65.0,72.0,70.0,70.0,67.0,55.0,5.0,15.0,13.0,14.0,11.0,59.0,236548,56.0,55.0,67.0,73.0,45.0,52.0,71.0,65.0,68.0,77.0,48.0,82.0,78.0,54.0,69.0,73.0,62.0
2627,2627,61.0,81.0,69.0,65.0,73.0,71.0,66.0,69.0,68.0,68.0,70.0,11.0,16.0,15.0,14.0,13.0,47.0,186116,67.0,62.0,73.0,73.0,56.0,72.0,70.0,69.0,73.0,70.0,62.0,62.0,81.0,60.0,75.0,73.0,57.0
2628,2628,46.0,34.0,49.0,42.0,22.0,60.0,18.0,12.0,12.0,14.0,13.0,66.0,71.0,65.0,76.0,75.0,12.0,187652,18.0,66.0,31.0,14.0,16.0,24.0,12.0,71.0,36.0,22.0,15.0,53.0,20.0,14.0,73.0,38.0,12.0
2629,2629,84.0,49.0,79.0,83.0,70.0,60.0,64.0,45.0,73.0,76.0,44.0,10.0,15.0,13.0,12.0,7.0,68.0,221445,23.0,67.0,54.0,65.0,18.0,68.0,77.0,72.0,72.0,74.0,31.0,84.0,71.0,37.0,44.0,70.0,71.0
2630,2630,76.0,47.0,78.0,81.0,77.0,65.0,58.0,73.0,78.0,67.0,77.0,7.0,12.0,8.0,11.0,10.0,46.0,221701,27.0,59.0,69.0,67.0,41.0,52.0,63.0,58.0,75.0,65.0,56.0,73.0,67.0,48.0,43.0,73.0,58.0
2631,2631,77.0,31.0,79.0,62.0,74.0,65.0,71.0,71.0,73.0,70.0,75.0,13.0,8.0,6.0,7.0,6.0,43.0,189446,60.0,48.0,65.0,66.0,16.0,61.0,66.0,67.0,73.0,70.0,29.0,83.0,76.0,27.0,57.0,73.0,51.0
2632,2632,83.0,68.0,78.0,70.0,76.0,70.0,63.0,40.0,78.0,72.0,34.0,12.0,7.0,8.0,11.0,13.0,70.0,231943,16.0,60.0,42.0,63.0,21.0,71.0,76.0,72.0,68.0,74.0,19.0,79.0,79.0,22.0,76.0,69.0,63.0
2633,2633,58.0,72.0,62.0,61.0,67.0,66.0,66.0,44.0,63.0,48.0,67.0,13.0,6.0,14.0,7.0,9.0,69.0,166919,74.0,66.0,67.0,62.0,74.0,56.0,56.0,72.0,64.0,74.0,74.0,61.0,71.0,76.0,70.0,68.0,51.0
2634,2634,62.0,70.0,62.0,58.0,58.0,60.0,36.0,52.0,44.0,24.0,68.0,14.0,7.0,14.0,8.0,6.0,76.0,187655,72.0,72.0,68.0,43.0,70.0,52.0,30.0,68.0,66.0,46.0,68.0,67.0,69.0,75.0,78.0,37.0,19.0
2635,2635,82.0,43.0,87.0,74.0,77.0,73.0,65.0,73.0,84.0,66.0,62.0,7.0,7.0,11.0,7.0,14.0,33.0,188935,30.0,46.0,61.0,75.0,30.0,64.0,64.0,68.0,69.0,74.0,25.0,82.0,68.0,39.0,47.0,68.0,66.0
2636,2636,87.0,71.0,85.0,84.0,67.0,74.0,57.0,70.0,67.0,74.0,59.0,9.0,15.0,11.0,6.0,13.0,62.0,212232,52.0,84.0,50.0,60.0,35.0,74.0,77.0,84.0,61.0,66.0,31.0,85.0,83.0,32.0,72.0,63.0,65.0
2637,2637,92.0,64.0,82.0,87.0,65.0,69.0,69.0,58.0,65.0,36.0,37.0,15.0,8.0,9.0,15.0,9.0,55.0,216072,69.0,75.0,65.0,45.0,68.0,45.0,55.0,69.0,65.0,49.0,72.0,85.0,81.0,71.0,70.0,49.0,28.0
2638,2638,74.0,62.0,71.0,50.0,69.0,62.0,66.0,67.0,74.0,52.0,57.0,11.0,13.0,15.0,6.0,12.0,68.0,188168,70.0,73.0,59.0,58.0,73.0,50.0,64.0,65.0,68.0,65.0,74.0,73.0,85.0,76.0,82.0,53.0,34.0
2639,2639,79.0,75.0,85.0,86.0,68.0,54.0,59.0,49.0,72.0,45.0,47.0,14.0,16.0,11.0,10.0,14.0,60.0,215049,71.0,93.0,58.0,74.0,70.0,55.0,69.0,72.0,61.0,69.0,73.0,82.0,91.0,72.0,41.0,42.0,44.0
2640,2640,68.0,66.0,73.0,72.0,75.0,76.0,85.0,80.0,70.0,46.0,76.0,6.0,5.0,7.0,12.0,7.0,58.0,154634,70.0,74.0,77.0,62.0,70.0,50.0,64.0,70.0,77.0,72.0,72.0,68.0,71.0,71.0,66.0,70.0,62.0
2641,2641,57.0,70.0,64.0,54.0,62.0,65.0,51.0,62.0,57.0,54.0,65.0,8.0,9.0,16.0,14.0,15.0,73.0,222986,72.0,71.0,71.0,61.0,72.0,68.0,56.0,68.0,69.0,63.0,71.0,64.0,82.0,74.0,80.0,51.0,48.0
2642,2642,71.0,69.0,71.0,59.0,74.0,83.0,66.0,62.0,76.0,70.0,66.0,14.0,9.0,15.0,14.0,9.0,72.0,192778,38.0,81.0,58.0,69.0,24.0,71.0,75.0,70.0,70.0,71.0,30.0,73.0,73.0,39.0,81.0,70.0,62.0
2643,2643,75.0,76.0,78.0,74.0,72.0,63.0,67.0,63.0,70.0,61.0,65.0,8.0,10.0,16.0,6.0,7.0,64.0,156683,70.0,76.0,72.0,71.0,68.0,60.0,70.0,70.0,73.0,72.0,66.0,78.0,89.0,70.0,68.0,70.0,59.0
2644,2644,71.0,71.0,73.0,62.0,71.0,76.0,53.0,44.0,45.0,33.0,50.0,8.0,15.0,15.0,8.0,10.0,72.0,230411,70.0,80.0,76.0,44.0,65.0,57.0,30.0,63.0,64.0,60.0,75.0,77.0,58.0,75.0,81.0,45.0,61.0
2645,2645,65.0,72.0,52.0,55.0,61.0,65.0,44.0,41.0,59.0,35.0,45.0,13.0,12.0,9.0,11.0,10.0,68.0,232459,72.0,88.0,54.0,46.0,73.0,49.0,45.0,66.0,59.0,54.0,74.0,69.0,72.0,76.0,80.0,45.0,33.0
2646,2646,56.0,38.0,60.0,64.0,29.0,51.0,15.0,14.0,13.0,14.0,15.0,75.0,70.0,79.0,69.0,75.0,14.0,167435,28.0,79.0,22.0,14.0,12.0,18.0,15.0,68.0,23.0,17.0,13.0,62.0,37.0,12.0,80.0,59.0,13.0
2647,2647,62.0,75.0,55.0,53.0,75.0,65.0,66.0,56.0,73.0,60.0,62.0,8.0,12.0,9.0,8.0,6.0,62.0,197900,67.0,59.0,70.0,72.0,58.0,63.0,67.0,74.0,73.0,84.0,56.0,70.0,82.0,64.0,78.0,74.0,65.0
2648,2648,91.0,42.0,84.0,85.0,75.0,73.0,72.0,71.0,75.0,50.0,53.0,6.0,6.0,9.0,9.0,10.0,48.0,216076,53.0,61.0,66.0,50.0,57.0,47.0,69.0,65.0,70.0,56.0,58.0,84.0,81.0,47.0,65.0,55.0,52.0
2649,2649,87.0,38.0,75.0,77.0,74.0,65.0,62.0,72.0,70.0,75.0,48.0,15.0,11.0,14.0,7.0,9.0,60.0,221452,21.0,74.0,46.0,63.0,21.0,69.0,79.0,72.0,66.0,74.0,20.0,78.0,67.0,29.0,67.0,61.0,67.0
2650,2650,54.0,61.0,75.0,62.0,76.0,80.0,73.0,70.0,73.0,68.0,61.0,15.0,15.0,13.0,8.0,6.0,54.0,8205,56.0,52.0,71.0,80.0,46.0,74.0,72.0,75.0,75.0,82.0,35.0,69.0,77.0,49.0,74.0,73.0,74.0
2651,2651,67.0,75.0,53.0,42.0,63.0,69.0,25.0,27.0,53.0,16.0,21.0,10.0,7.0,14.0,7.0,15.0,69.0,215565,68.0,79.0,54.0,32.0,75.0,31.0,27.0,68.0,67.0,35.0,73.0,64.0,67.0,73.0,82.0,32.0,28.0
2652,2652,72.0,69.0,77.0,74.0,76.0,69.0,74.0,85.0,76.0,61.0,78.0,9.0,16.0,6.0,16.0,7.0,35.0,173325,51.0,70.0,71.0,77.0,43.0,61.0,71.0,69.0,76.0,69.0,44.0,75.0,75.0,55.0,72.0,78.0,64.0
